time_ns,d0_uart,d1_refclk
0,1,0
1000,1,0
2000,1,0
3000,1,1
4000,1,1
5000,1,1
6000,1,0
7000,1,0
8000,1,0
9000,1,1
10000,1,1
11000,1,1
12000,1,0
13000,1,0
14000,1,0
15000,1,1
16000,1,1
17000,1,1
18000,1,0
19000,1,0
20000,1,0
21000,1,1
22000,1,1
23000,1,1
24000,1,0
25000,1,0
26000,1,0
27000,1,1
28000,1,1
29000,1,1
30000,1,0
31000,1,0
32000,1,0
33000,1,1
34000,1,1
35000,1,1
36000,1,0
37000,1,0
38000,1,0
39000,1,1
40000,1,1
41000,1,1
42000,1,0
43000,1,0
44000,1,0
45000,1,1
46000,1,1
47000,1,1
48000,1,0
49000,1,0
50000,1,0
51000,1,1
52000,1,1
53000,1,1
54000,1,0
55000,1,0
56000,1,0
57000,1,1
58000,1,1
59000,1,1
60000,1,0
61000,1,0
62000,1,0
63000,1,1
64000,1,1
65000,1,1
66000,1,0
67000,1,0
68000,1,0
69000,1,1
70000,1,1
71000,1,1
72000,1,0
73000,1,0
74000,1,0
75000,1,1
76000,1,1
77000,1,1
78000,1,0
79000,1,0
80000,1,0
81000,1,1
82000,1,1
83000,1,1
84000,1,0
85000,1,0
86000,1,0
87000,1,1
88000,1,1
89000,1,1
90000,1,0
91000,1,0
92000,1,0
93000,1,1
94000,1,1
95000,1,1
96000,0,0
97000,0,0
98000,0,0
99000,0,1
100000,0,1
101000,0,1
102000,0,0
103000,0,0
104000,0,0
105000,0,1
106000,0,1
107000,0,1
108000,0,0
109000,0,0
110000,0,0
111000,0,1
112000,1,1
113000,1,1
114000,1,0
115000,1,0
116000,1,0
117000,1,1
118000,1,1
119000,1,1
120000,1,0
121000,1,0
122000,1,0
123000,1,1
124000,1,1
125000,1,1
126000,1,0
127000,1,0
128000,1,0
129000,1,1
130000,1,1
131000,1,1
132000,1,0
133000,1,0
134000,1,0
135000,1,1
136000,0,1
137000,0,1
138000,0,0
139000,0,0
140000,0,0
141000,0,1
142000,0,1
143000,0,1
144000,0,0
145000,0,0
146000,0,0
147000,0,1
148000,0,1
149000,0,1
150000,0,0
151000,0,0
152000,1,0
153000,1,1
154000,1,1
155000,1,1
156000,1,0
157000,1,0
158000,1,0
159000,1,1
160000,0,1
161000,0,1
162000,0,0
163000,0,0
164000,0,0
165000,0,1
166000,0,1
167000,0,1
168000,1,0
169000,1,0
170000,1,0
171000,1,1
172000,1,1
173000,1,1
174000,1,0
175000,1,0
176000,1,0
177000,1,1
178000,1,1
179000,1,1
180000,1,0
181000,1,0
182000,1,0
183000,1,1
184000,1,1
185000,1,1
186000,1,0
187000,1,0
188000,1,0
189000,1,1
190000,1,1
191000,1,1
192000,0,0
193000,0,0
194000,0,0
195000,0,1
196000,0,1
197000,0,1
198000,0,0
199000,0,0
200000,1,0
201000,1,1
202000,1,1
203000,1,1
204000,1,0
205000,1,0
206000,1,0
207000,1,1
208000,1,1
209000,1,1
210000,1,0
211000,1,0
212000,1,0
213000,1,1
214000,1,1
215000,1,1
216000,0,0
217000,0,0
218000,0,0
219000,0,1
220000,0,1
221000,0,1
222000,0,0
223000,0,0
224000,0,0
225000,0,1
226000,0,1
227000,0,1
228000,0,0
229000,0,0
230000,0,0
231000,0,1
232000,0,1
233000,0,1
234000,0,0
235000,0,0
236000,0,0
237000,0,1
238000,0,1
239000,0,1
240000,0,0
241000,0,0
242000,0,0
243000,0,1
244000,0,1
245000,0,1
246000,0,0
247000,0,0
248000,1,0
249000,1,1
250000,1,1
251000,1,1
252000,1,0
253000,1,0
254000,1,0
255000,1,1
256000,0,1
257000,0,1
258000,0,0
259000,0,0
260000,0,0
261000,0,1
262000,0,1
263000,0,1
264000,1,0
265000,1,0
266000,1,0
267000,1,1
268000,1,1
269000,1,1
270000,1,0
271000,1,0
272000,1,0
273000,1,1
274000,1,1
275000,1,1
276000,1,0
277000,1,0
278000,1,0
279000,1,1
280000,1,1
281000,1,1
282000,1,0
283000,1,0
284000,1,0
285000,1,1
286000,1,1
287000,1,1
288000,0,0
289000,0,0
290000,0,0
291000,0,1
292000,0,1
293000,0,1
294000,0,0
295000,0,0
296000,0,0
297000,0,1
298000,0,1
299000,0,1
300000,0,0
301000,0,0
302000,0,0
303000,0,1
304000,0,1
305000,0,1
306000,0,0
307000,0,0
308000,0,0
309000,0,1
310000,0,1
311000,0,1
312000,1,0
313000,1,0
314000,1,0
315000,1,1
316000,1,1
317000,1,1
