CIPHER 80a69c913964dc894870d22953b9f03ed989af3be5aaf52b3dd6255b891467b6c021ff8eec790a53
181114506 189740292 194937299
429861282 60716670 750573059
510853459 344429186 510894611
82573946 719519555 742444309
455546099 577738755 662520869
430258689 185406630 998582119
617731926 434330460 887378759
181477743 357211220 451311031
261682213 586795901 979826401
11484415 25510898 112944913
114731871 761359269 848842201
45926333 9920340 111951377
226610920 36242971 426940637
34904544 20707148 316909487
107929284 43419627 948768313
427924191 433434622 462192067
180555664 324257226 622703153
388249891 78781957 722771003
16293813 550866238 804291967
91500159 73397627 230049641
492861491 224307013 502399379
110506531 18038973 243083983
231749198 550488730 871094407
617728408 34488971 715236953
159524778 232280946 352587761
113532996 95016476 155633017
15702388 79848492 156523427
238701200 248793232 277170791
174504997 121986769 666249263
302992154 39853716 332480089
15346688 439638232 472992809
38918077 114392584 247873177
453747223 415596627 520792589
236745508 18509494 519898891
192617458 218429139 233747653
9536308 118023701 662240923
2344581 488477577 668872103
390378758 315811680 595599287
66772146 576883201 631434407
120599558 196118558 829419223
132769135 380350260 395775781
154874998 326320476 389201327
184329253 199653323 751547123
5276590 52817430 254305141
344241439 579816649 592117781
598855888 375394067 710063059
84785747 48557187 441816259
723098307 222628565 816197423
355776655 160868287 432211357
163846010 137897621 420890957
46194982 148304862 281930767
115975006 270703907 884721787
342953350 154784147 678233093
51922420 54596155 114389053
409868951 629393628 646420627
769181294 820059303 838883627
301020625 294324933 903204677
39119797 224813942 462143749
377495262 371674836 679291271
93483656 168377972 247577903
15635036 86763413 103378043
84470272 259527131 392345587
514454342 234928798 878124673
116829177 81064859 198847157
100534364 106149717 320028127
324862873 468296259 731750531
435931324 313639303 911832589
115545908 93801359 133674097
238999310 346742395 394085773
49744995 28658679 214203851
432960565 103676694 526418677
161616826 120586413 307083451
228553851 142709495 546067517
654865474 479715312 708520759
172384381 56824168 225588227
243725922 271724043 711048727
465973402 371886411 489905551
58564147 174309321 191426423
340344712 243962769 486321751
284361058 284516188 789420127
169264257 295339415 359711291
146725520 79723513 590175071
167787317 161084133 180593713
636334018 630634362 831840851
122930313 97777281 129319297
343907148 309210496 669314033
30476715 432813117 439628401
249772768 715748075 867702937
334006464 406609325 527957137
385325310 278789084 509380607
698984948 15445636 792964343
273013643 571613239 595060729
407334936 202004219 438976243
123053994 320842224 560862727
320767249 212772683 851858201
415359406 303168872 444739721
329741911 865807255 984679987
98392135 28984503 144131467
61045669 57394945 195423407
208686692 68762126 350695001
86350756 34259238 103848331
61809647 181382929 234222511
498103849 903665782 954257503
117852674 136115170 325118653
286960276 783523937 862849411
27351479 157426997 211756169
56428626 127462450 794573873
455384096 502284536 677042887
448220721 130246910 661128043
902284265 381154961 989345543
30277898 176510012 260677253
183028238 25927853 254857921
95440129 277307125 406574617
69919709 120216041 140594533
237445271 35144987 345654307
135043337 212203466 355451123
412316810 702184295 812403547
296469246 8569318 468347423
303681893 368041796 524799739
326979651 51304650 817346273
229505260 82514906 759700901
225444171 322344916 361575913
241503946 156083952 906725779
396931305 246859825 736246501
174689882 371341485 581436127
162093617 294914634 295929701
558259196 728001266 803387807
62883972 276573304 290587601
421643648 543594168 644898367
337651874 262134783 572442319
144496502 205809307 273079531
542872593 15977297 564737281
203813007 82068920 207199073
835942658 809432103 856404919
175767796 318385122 742960397
187322043 28544316 576775247
71876063 119831877 387096947
143306959 270080742 693162191
30816339 97373090 195618743
426502657 559967108 701991259
258114229 313708858 335761649
217475064 281214203 384556937
647944649 686332618 734440961
248978369 139528603 277005847
146243225 154321252 403093381
399226753 378621733 739911301
21595030 4333111 147733363
224778854 288801838 450356531
132425473 247682091 343379347
204911485 330357078 450839843
278546156 139159268 322718651
315948524 256590277 434254087
62758205 192837712 256106573
101282858 9838076 210050497
11221140 416254725 441870469
3055214 2997507 120822173
168540183 120320929 551564641
537187575 343911100 602113957
80665953 24498049 338984671
164173617 499569926 521747333
